TWDB Survey Number,TCEQ PWS Code,PWS Name,Wholesale System?,Water Use Survey Form Type,PWS System Class
10,TX1970003,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,Y,Municipal Short,Authority
20,TX0650013,GREENBELT MIWA,Y,Municipal Short,Authority
25,TX1070252,ATHENS MUNICIPAL WATER AUTHORITY,Y,Municipal Short,Authority
60,TX1580065,NORTHEAST TEXAS MWD,Y,Municipal Short,District 
140,TX0360112,LOWER NECHES VALLEY AUTHORITY,Y,Municipal Short,Authority
160,TX0430044,NORTH TEXAS MWD WYLIE WTP,Y,Municipal Short,Authority
220,TX1130010,HOUSTON COUNTY WCID 1,Y,Municipal Short,District 
280,TX0470015,UPPER LEON RIVER MWD,N,Municipal Long,District 
290,TX0540015,WHITE RIVER MWD,N,Municipal Long,District 
300,TX0670019,EASTLAND COUNTY WATER SUPPLY DISTRICT,Y,Municipal Short,District 
420,TX2150023,WEST CENTRAL TEXAS MWD,Y,Municipal Short,District 
911,TX0310152,NORTH CAMERON REGIONAL WATER TREATMENT F,Y,Municipal Short,District 
950,TX2280032,TRA TRINITY COUNTY REGIONAL,Y,Municipal Short,District 
1040,TX0230004,MACKENZIE MUNICIPAL WATER AUTHORITY,Y,Municipal Short,Authority
2000,TX0200497,BRAZOSPORT WATER AUTHORITY,Y,Municipal Short,Authority
5000,TX1830017,A & P WSC PUMP 1,N,Municipal Long,Water Supply Corporation
5800,TX1090015,CITY OF ABBOTT,N,Municipal Long,Municipal
6600,TX0950001,CITY OF ABERNATHY,N,Municipal Long,Municipal
6650,TX2210001,CITY OF ABILENE,N,Municipal Long,Municipal
6670,TX1290010,ABLES SPRINGS SUD,N,Municipal Long,Water Supply Corporation
8000,TX0580011,CITY OF ACKERLY,N,Municipal Long,Water Supply Corporation
8860,TX1110007,ACTON MUD,N,Municipal Long,District 
8868,TX1110055,ACTON WATER ROYAL OAKS,N,Municipal Long,Private/IOU
