Year,TWDB Survey No,PWS Name,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections 
2022,280,UPPER LEON RIVER MWD,N," 2,880 "," 59,001,027 ", 900 ,,," 21,263,591 ", 60 ,,,,,,," 80,264,618 ", 960 ,,
2022,290,WHITE RIVER MWD,N, 506 ," 19,708,104 ", 260 ,,," 8,031,280 ", 8 ,,,,," 1,597,690 ", 39 ," 29,337,074 ", 307 ," 3,999,996 ", 7 
2022,5000,A & P WSC PUMP 1,N, 639 ," 7,977,600 ", 208 ,,," 385,300 ", 5 ,,,,,,," 8,362,900 ", 213 ,,
2023,5000,A & P WSC PUMP 1,N, 639 ," 8,628,200 ", 208 ,,," 79,900 ", 5 ,,,,,,," 8,708,100 ", 213 ,,
2022,5800,CITY OF ABBOTT,N, 356 ," 12,652,250 ", 198 ,,," 298,490 ", 10 ,,," 4,113,690 ", 6 ," 52,110 ", 3 ," 17,116,540 ", 217 ," 355,900 ", 2 
2023,5800,CITY OF ABBOTT,N, 354 ," 11,028,110 ", 201 ,,," 980,690 ", 10 ,,," 3,252,890 ", 5 ," 18,030 ", 3 ," 15,279,720 ", 219 ," 546,450 ", 2 
2022,6600,CITY OF ABERNATHY,N," 2,883 "," 102,613,000 "," 1,084 "," 1,227,000 ", 7 ," 11,206,000 ", 99 ," 7,286,000 ", 1 ," 17,534,000 ", 16 ,,," 139,866,000 "," 1,207 ",,
2023,6600,CITY OF ABERNATHY,N," 2,762 "," 68,348,000 "," 1,092 "," 862,000 ", 7 ," 8,214,000 ", 110 ," 7,667,000 ", 1 ," 11,049,000 ", 16 ,,," 96,140,000 "," 1,226 ",,
2022,6650,CITY OF ABILENE,N," 123,688 "," 3,212,813,000 "," 40,785 "," 534,664,000 "," 10,792 "," 1,013,812,000 "," 5,401 "," 149,223,000 ", 42 ," 1,004,137,000 "," 1,141 ",,," 6,559,497,000 "," 58,190 ",,
2023,6650,CITY OF ABILENE,N," 124,262 "," 2,951,307,000 "," 41,082 "," 515,585,000 "," 11,301 "," 959,055,000 "," 5,416 "," 161,758,000 ", 43 ," 863,422,000 "," 1,140 "," 9,438,000 ", 51 ," 5,997,752,000 "," 59,062 ",,
2022,6670,ABLES SPRINGS SUD,N," 4,842 "," 84,091,987 "," 1,678 ",,," 3,705,600 ", 13 ," 125,900 ", 3 ," 70,900 ", 6 ," 639,100 ", 6 ," 88,633,487 "," 1,706 "," 2,404,500 ", 171 
2023,6670,ABLES SPRINGS SUD,N," 5,190 "," 86,530,633 "," 1,698 ",,," 4,777,200 ", 17 ," 505,800 ", 3 ," 154,900 ", 6 ," 418,000 ", 6 ," 92,386,533 "," 1,730 "," 1,969,700 ", 171 
2022,8000,CITY OF ACKERLY,N, 264 ," 11,647,620 ", 143 ,,," 751,875 ", 10 ,,," 725,700 ", 6 ,,," 13,125,195 ", 159 ,,
2023,8000,CITY OF ACKERLY,N, 265 ," 11,662,360 ", 144 ,,," 750,520 ", 10 ,,," 449,100 ", 6 ,,," 12,861,980 ", 160 ,,
2022,8860,ACTON MUD,N," 22,010 "," 871,902,907 "," 8,378 "," 7,684,475 ", 12 ," 19,481,592 ", 81 ,,," 8,633,165 ", 207 ,,," 907,702,139 "," 8,678 ",,
2023,8860,ACTON MUD,N," 23,212 "," 865,395,068 "," 8,453 "," 6,714,506 ", 14 ," 19,680,094 ", 135 ,,," 4,693,480 ", 50 ," 258,971 ", 2 ," 896,742,119 "," 8,654 ",,
2022,8868,ACTON WATER ROYAL OAKS,N, 213 ," 4,911,000 ", 69 ,,," 258,000 ", 2 ,,,,,,," 5,169,000 ", 71 ," 1,639,000 ",
2023,8868,ACTON WATER ROYAL OAKS,N, 213 ," 4,722,000 ", 69 ,,," 472,000 ", 2 ,,,,,,," 5,194,000 ", 71 ," 132,000 ",
2022,8960,ADDICKS UTILITY DISTRICT,N," 7,029 "," 127,035,000 "," 1,636 "," 28,070,000 ", 676 ," 11,618,000 ", 34 ,,,,," 12,530,000 ", 28 ," 179,253,000 "," 2,374 "," 9,406,575 ", 1 
2023,8960,ADDICKS UTILITY DISTRICT,N," 7,047 "," 129,768,000 "," 1,636 "," 28,256,000 ", 676 ," 9,312,000 ", 40 ,,,,," 16,570,000 ", 28 ," 183,906,000 "," 2,380 "," 9,400,964 ", 1 
2022,9000,TOWN OF ADDISON,N," 17,012 "," 194,534,000 "," 2,034 "," 391,323,000 ", 99 ," 566,384,000 "," 1,224 "," 1,921,000 ", 13 ," 198,420,000 ", 266 ," 378,686,000 ", 456 ," 1,731,268,000 "," 4,092 "," 8,760,000 "," 1,126 "
2023,9000,TOWN OF ADDISON,N," 16,661 "," 187,739,000 "," 2,083 "," 391,919,000 ", 100 ," 532,242,000 "," 1,161 "," 1,363,000 ", 13 ," 196,343,000 ", 257 ," 354,653,000 ", 434 ," 1,664,259,000 "," 4,048 "," 8,760,000 "," 1,126 "
2022,9600,MOORTEX WSC,N, 266 ," 12,075,900 ", 95 ,,,,,,,,,,," 12,075,900 ", 95 ,,
2023,9600,MOORTEX WSC,N, 275 ," 11,541,202 ", 98 ,,,,,,,,,,," 11,541,202 ", 98 ,,
2022,9800,ADRIAN MUNICIPAL WATER SYSTEM,Y, 166 ," 12,000,000 ", 87 ,,,,,,,,,,," 12,000,000 ", 87 ,,
