Year,TWDB Seller Survey No,PWS Name,Seller County,Seller Water Type, Seller Volume Reported ,Buyer Survey No,Buyer Name,Buyer Water Type, Buyer Volume Reported ,Buyer NAICS Code, Volume Used In Net Use ,Volume Source Used In Net Use
2023,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,17600,AMARILLO MWS,N/A," 9,270,599,000 ",N/A," 9,270,599,000 ",BUYER-VOLUME
2023,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,36100,ASARCO LLC-AMARILLO COPPER REFINERY,N/A, -   ,331410, -   ,BUYER-VOLUME
2023,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,99200,CITY OF BROWNFIELD,Surface Water," 396,651,000 ",N/A," 396,651,000 ",BUYER-VOLUME
2023,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,492400,CITY OF LEVELLAND,N/A," 463,172,000 ",N/A," 463,172,000 ",BUYER-VOLUME
2023,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,N/A," 9,258,129,000 ",N/A," 9,258,129,000 ",BUYER-VOLUME
2023,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,622000,CITY OF ODONNELL,Surface Water," 32,437,000 ",N/A," 32,437,000 ",BUYER-VOLUME
2023,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,642200,CITY OF PAMPA,Surface Water," 700,900,000 ",N/A," 700,900,000 ",BUYER-VOLUME
2023,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,684600,CITY OF PLAINVIEW,N/A," 499,633,100 ",N/A," 499,633,100 ",BUYER-VOLUME
2023,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,801800,CITY OF SLATON,N/A," 271,047,000 ",N/A," 271,047,000 ",BUYER-VOLUME
2023,10,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,HUTCHINSON,N/A, -   ,842000,CITY OF TAHOKA,N/A," 102,975,000 ",N/A," 102,975,000 ",BUYER-VOLUME
