id,name,match_id,match_name,lv_similarity_score,ignore_patterns,id_match,clean_name,clean_match_name,identical_clean_strings,raw_lv_similarity_score,both_with_patterns,Redundant,Notes,,,
1104547,Beach And Tennis Club Hoa,1104065,Beach And Tennis Club Hoa,100,TRUE,FALSE,beach and tennis club hoa,beach and tennis club hoa,TRUE,100,FALSE,Yes,,,,
325,Brazos River System,331,Brazos River System,100,TRUE,FALSE,brazos river system,brazos river system,TRUE,100,FALSE,Yes,,,,
190,Cedar Creek Reservoir,175,Cedar Creek Reservoir,100,TRUE,FALSE,cedar creek reservoir,cedar creek reservoir,TRUE,100,FALSE,Yes,,,,
1102848,Cedar Creek Water System,1103831,Cedar Creek Water System,100,TRUE,FALSE,cedar creek water system,cedar creek water system,TRUE,100,FALSE,Yes,,,,
1101693,Cisco,Cisco Lake/Reservoir,Cisco Lake/Reservoir,100,TRUE,FALSE,cisco,cisco,TRUE,40,FALSE,Maybe,,,,
1101693,Cisco,153300,City Of Cisco,100,TRUE,FALSE,cisco,cisco,TRUE,56,FALSE,Maybe,,,,
102400,City Of Bryan,1103744,City Of Bryan,100,TRUE,FALSE,bryan,bryan,TRUE,100,TRUE,Yes,,,,
185000,City Of Corpus Christi,1103607,City Of Corpus Christi,100,TRUE,FALSE,corpus christi,corpus christi,TRUE,100,TRUE,Yes,,,Yes,33
578600,City Of Morgans Point,1106104,City Of Morgan'S Point,96,TRUE,FALSE,morgans point,morgan's point,FALSE,98,TRUE,Yes,,,Maybe,12
722750,City Of Reno,722751,City Of Reno,100,TRUE,FALSE,reno,reno,TRUE,100,TRUE,Yes,,,No,0
730900,City Of River Oaks,440530,River Oaks,100,TRUE,FALSE,river oaks,river oaks,TRUE,71,FALSE,Maybe,,,,
750700,City Of Royse City,742622,City Of Rose City,95,TRUE,FALSE,royse city,rose city,FALSE,97,TRUE,Maybe,,,,
917600,City Of Walnut Springs,82015,Walnut Springs,100,TRUE,FALSE,walnut springs,walnut springs,TRUE,78,FALSE,Maybe,,,,
195,Eagle Mountain,Eagle Mountain Lake/Reservoir,Eagle Mountain Lake/Reservoir,100,TRUE,FALSE,eagle mountain,eagle mountain,TRUE,65,FALSE,Maybe,,,,
60134,Emerald Forest,1103775,Emerald Forest,100,TRUE,FALSE,emerald forest,emerald forest,TRUE,100,FALSE,Yes,,,,
267275,Enchanted Forest,817582,Enchanted Forest,100,TRUE,FALSE,enchanted forest,enchanted forest,TRUE,100,FALSE,Yes,,,,
623100,Fmc Technologies Inc,291334,Fmc Technologies Inc,100,TRUE,FALSE,fmc technologies inc,fmc technologies inc,TRUE,100,FALSE,Yes,,,,
312941,G & W Wsc,312943,G & W Wsc,100,TRUE,FALSE,g & w wsc,g & w wsc,TRUE,100,FALSE,Yes,,,,
342282,Green Trails Mud,1101657,Green Trails Mud,100,TRUE,FALSE,green trails mud,green trails mud,TRUE,100,FALSE,Yes,,,,
371091,Harris County Wcid 91,1106324,Harris County Wcid 91,100,TRUE,FALSE,harris county wcid 91,harris county wcid 91,TRUE,100,FALSE,Yes,,,,
385415,Hickory Hollow Water System,880970,Hickory Hollow Water System,100,TRUE,FALSE,hickory hollow water system,hickory hollow water system,TRUE,100,FALSE,Yes,,,,
805,Hidalgo County Id,800,Hidalgo County Id,100,TRUE,FALSE,hidalgo county id,hidalgo county id,TRUE,100,FALSE,Yes,,,,
1103097,Hidalgo Irrigation District,1105159,Hidalgo Irrigation District,100,TRUE,FALSE,hidalgo irrigation district,hidalgo irrigation district,TRUE,100,FALSE,Yes,,,,
419291,Industrial Utilities Service,432200,Industrial Utilities Service,100,TRUE,FALSE,industrial utilities service,industrial utilities service,TRUE,100,FALSE,Yes,,,,
479500,Lago Vista Water System,1103477,Lago Vista Water System,100,TRUE,FALSE,lago vista water system,lago vista water system,TRUE,100,FALSE,Yes,,,,
250,Lake Houston,Lake Houston,Lake Houston,100,TRUE,FALSE,lake houston,lake houston,TRUE,100,FALSE,Maybe,,,,
1106468,Mill Creek,Mill Creek Lake/Reservoir,Mill Creek Lake/Reservoir,100,TRUE,FALSE,mill creek,mill creek,TRUE,57,FALSE,Maybe,,,,
617710,Oak Hollow Subdivision,817589,Oak Hollow Subdivision,100,TRUE,FALSE,oak hollow subdivision,oak hollow subdivision,TRUE,100,FALSE,Yes,,,,
618415,Oak Shores Water System,618510,Oak Shores Water System,100,TRUE,FALSE,oak shores water system,oak shores water system,TRUE,100,FALSE,Yes,,,,
653867,Pecan Grove Mobile Home Park,1106279,Pecan Grove Mobile Home Park,100,TRUE,FALSE,pecan grove mobile home park,pecan grove mobile home park,TRUE,100,FALSE,Yes,,,,
Possum Kingdom Lake/Reservoir,Possum Kingdom Lake/Reservoir,370,Possum Kingdom,100,TRUE,FALSE,possum kingdom,possum kingdom,TRUE,65,FALSE,Maybe,,,,
440530,River Oaks,730900,City Of River Oaks,100,TRUE,FALSE,river oaks,river oaks,TRUE,71,FALSE,Maybe,,,,
579,Run Of The River,590,Run Of The River,100,TRUE,FALSE,run of the river,run of the river,TRUE,100,FALSE,Yes,,,,
873016,Shady Acres,1102390,Shady Acres,100,TRUE,FALSE,shady acres,shady acres,TRUE,100,FALSE,Yes,,,,
1104504,Shady Oaks Mhp,1104574,Shady Oaks Mhp,100,TRUE,FALSE,shady oaks mhp,shady oaks mhp,TRUE,100,FALSE,Yes,,,,
626055,Sk Mobile Home Park,801181,Sk Mobile Home Park,100,TRUE,FALSE,sk mobile home park,sk mobile home park,TRUE,100,FALSE,Yes,,,,
1103610,Southmost Regional Water Authority,1102242,Southmost Regional Water Authority,100,TRUE,FALSE,southmost regional water authority,southmost regional water authority,TRUE,100,FALSE,Yes,,,,
1104223,Tarrant Regional Water District,1102621,Tarrant Regional Water District,100,TRUE,FALSE,tarrant regional water district,tarrant regional water district,TRUE,100,FALSE,Yes,,,,
80,Toledo Bend,Toledo Bend Lake/Reservoir,Toledo Bend Lake/Reservoir,100,TRUE,FALSE,toledo bend,toledo bend,TRUE,59,FALSE,Maybe,,,,
873990,Tra Trinity County Regional,950,Tra Trinity County Regional,100,TRUE,FALSE,tra trinity county regional,tra trinity county regional,TRUE,100,FALSE,Yes,,,,
1103819,Travis County Mud 18,1103692,Travis County Mud 18,100,TRUE,FALSE,travis county mud 18,travis county mud 18,TRUE,100,FALSE,Yes,,,,
15,Unspecified System/Facility,677600,Unspecified System/Facility,100,TRUE,FALSE,unspecified system/facility,unspecified system/facility,TRUE,100,FALSE,Yes,,,,
82015,Walnut Springs,917600,City Of Walnut Springs,100,TRUE,FALSE,walnut springs,walnut springs,TRUE,78,FALSE,Maybe,Might be different geographic units,,,
891348,West Travis County Public Utility Agency,1103957,West Travis County Public Utility Agency,100,TRUE,FALSE,west travis county public utility agency,west travis county public utility agency,TRUE,100,FALSE,Yes,,,,
919658,Westwood Subdivision,938320,Westwood Subdivision,100,TRUE,FALSE,westwood subdivision,westwood subdivision,TRUE,100,FALSE,Yes,,,,
