id,unified_name,preliminary_type,Year,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections ,TCEQ PWS Code,Wholesale System?,Water Use Survey Form Type,PWS System Class
MEREDITH LAKE/RESERVOIR,MEREDITH LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
OGALLALA AQUIFER,OGALLALA AQUIFER,water source,,,,,,,,,,,,,,,,,,,,,,,
GREENBELT LAKE/RESERVOIR,GREENBELT LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
ATHENS LAKE/RESERVOIR,ATHENS LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
CARRIZO-WILCOX AQUIFER,CARRIZO-WILCOX AQUIFER,water source,,,,,,,,,,,,,,,,,,,,,,,
LAKE O' THE PINES LAKE/RESERVOIR,LAKE O' THE PINES LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
186,LAKE LIVINGSTON,water system,,,,,,,,,,,,,,,,,,,,,,,
NECHES RUN OF RIVER,NECHES RUN OF RIVER,water source,,,,,,,,,,,,,,,,,,,,,,,
TRINITY LOCAL SUPPLY,TRINITY LOCAL SUPPLY,water source,,,,,,,,,,,,,,,,,,,,,,,
LAVON LAKE/RESERVOIR,LAVON LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
TEXOMA LAKE/RESERVOIR,TEXOMA LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
TRINITY RUN OF RIVER,TRINITY RUN OF RIVER,water source,,,,,,,,,,,,,,,,,,,,,,,
BRAZOS BASIN,BRAZOS BASIN,water source,,,,,,,,,,,,,,,,,,,,,,,
PROCTOR LAKE/RESERVOIR,PROCTOR LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
WHITE RIVER LAKE/RESERVOIR,WHITE RIVER LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
LEON LAKE/RESERVOIR,LEON LAKE/RESERVOIR,water source,,,,,,,,,,,,,,,,,,,,,,,
